STATE = 1	09:55	 SOC = 511.984375	Ps = -1671.689941	Pl = 3107.469971	Ppv = 1448.380005	Pb = -1671.689941	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:55	 SOC = 511.984375	Ps = -1659.089966	Pl = 3096.599854	Ppv = 1448.380005	Pb = -1659.089966	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:55	 SOC = 511.984375	Ps = -1648.219849	Pl = 3096.599854	Ppv = 1459.139893	Pb = -1648.219849	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:55	 SOC = 511.984375	Ps = -1637.459961	Pl = 3084.349854	Ppv = 1459.139893	Pb = -1637.459961	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:55	 SOC = 511.984375	Ps = -1613.749878	Pl = 3084.349854	Ppv = 1470.599976	Pb = -1613.749878	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:56	 SOC = 511.984375	Ps = -1613.749878	Pl = 3099.539795	Ppv = 1479.969971	Pb = -1613.749878	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:56	 SOC = 511.984375	Ps = -1616.339844	Pl = 3099.539795	Ppv = 1495.479980	Pb = -1616.339844	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 234.000000
STATE = 1	09:56	 SOC = 511.984375	Ps = -1604.059814	Pl = 3103.829834	Ppv = 1495.479980	Pb = -1604.059814	Plsec = 718.750000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:56	 SOC = 511.984375	Ps = -1593.019775	Pl = 3103.829834	Ppv = 1547.729980	Pb = -1593.019775	Plsec = 718.750000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:56	 SOC = 511.984375	Ps = -1556.099854	Pl = 3103.829834	Ppv = 1561.630005	Pb = -1556.099854	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:56	 SOC = 511.984375	Ps = -1542.199829	Pl = 3083.389893	Ppv = 1560.809937	Pb = -1542.199829	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:57	 SOC = 511.984375	Ps = -1522.579956	Pl = 3083.389893	Ppv = 1526.079956	Pb = -1522.579956	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:57	 SOC = 511.984375	Ps = -1557.309937	Pl = 3083.389893	Ppv = 1484.479980	Pb = -1557.309937	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:57	 SOC = 511.984375	Ps = -1598.909912	Pl = 3083.389893	Ppv = 1484.479980	Pb = -1598.909912	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:57	 SOC = 511.984375	Ps = -1598.909912	Pl = 3083.389893	Ppv = 1462.959961	Pb = -1598.909912	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:57	 SOC = 511.984375	Ps = -1620.429932	Pl = 3083.389893	Ppv = 1453.530029	Pb = -1620.429932	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:57	 SOC = 511.984375	Ps = -1629.859863	Pl = 3083.389893	Ppv = 1440.020020	Pb = -1629.859863	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:58	 SOC = 511.984375	Ps = -1643.369873	Pl = 3095.939941	Ppv = 1416.270020	Pb = -1643.369873	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:58	 SOC = 511.984375	Ps = -1679.669922	Pl = 3117.829834	Ppv = 1416.270020	Pb = -1679.669922	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:58	 SOC = 511.984375	Ps = -1701.559814	Pl = 3117.829834	Ppv = 1404.629883	Pb = -1701.559814	Plsec = 843.750000	Ibat = -13.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:58	 SOC = 511.984375	Ps = -1713.199951	Pl = 3117.829834	Ppv = 1393.319946	Pb = -1713.199951	Plsec = 843.750000	Ibat = -13.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:58	 SOC = 511.984375	Ps = -1724.509888	Pl = 3144.159912	Ppv = 1382.050049	Pb = -1724.509888	Plsec = 843.750000	Ibat = -13.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:58	 SOC = 511.984375	Ps = -1762.109863	Pl = 3144.159912	Ppv = 1382.050049	Pb = -1762.109863	Plsec = 843.750000	Ibat = -13.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:59	 SOC = 511.984375	Ps = -1762.109863	Pl = 3144.159912	Ppv = 1368.859985	Pb = -1762.109863	Plsec = 843.750000	Ibat = -13.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:59	 SOC = 511.984375	Ps = -1786.499878	Pl = 3155.359863	Ppv = 1358.399902	Pb = -1786.499878	Plsec = 843.750000	Ibat = -13.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:59	 SOC = 511.984375	Ps = -1796.959961	Pl = 3155.359863	Ppv = 1348.260010	Pb = -1796.959961	Plsec = 843.750000	Ibat = -13.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:59	 SOC = 511.984375	Ps = -1807.099854	Pl = 3127.000000	Ppv = 1336.309937	Pb = -1807.099854	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:59	 SOC = 511.984375	Ps = -1790.690063	Pl = 3106.079834	Ppv = 1326.359985	Pb = -1790.690063	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	09:59	 SOC = 511.984375	Ps = -1779.719849	Pl = 3106.079834	Ppv = 1326.359985	Pb = -1779.719849	Plsec = 843.750000	Ibat = -13.000000	Ubat = 59.562500	Iac_in = 0.515625	Uac = 235.000000
STATE = 1	10:00	 SOC = 511.984375	Ps = -1779.719849	Pl = 3106.079834	Ppv = 1309.020020	Pb = -1779.719849	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.562500	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	10:00	 SOC = 511.984375	Ps = -1797.059814	Pl = 768.259949	Ppv = 1309.020020	Pb = -1797.059814	Plsec = 843.750000	Ibat = -13.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 237.000000
